main_team,team_group,competition,away_home,n_matches,avg_win,avg_draw,avg_loss,win_streak_weighted,draw_streak_weighted,loss_streak_weighted,tot_giornata,win_streak_weighted_ratio,draw_streak_weighted_ratio,loss_streak_weighted_ratio
Almeria,0,La Liga,away,4,0.0,0.0,1.0,0.0,0.0,40.0,40.0,0.0,0.0,1.0
Almeria,0,La Liga,home,6,0.16666666666666666,0.16666666666666666,0.6666666666666666,24.0,17.0,64.0,105.0,0.22857142857142856,0.1619047619047619,0.6095238095238096
Almeria,1,La Liga,away,6,0.0,0.3333333333333333,0.6666666666666666,0.0,43.0,76.0,119.0,0.0,0.36134453781512604,0.6386554621848739
Almeria,1,La Liga,home,6,0.6666666666666666,0.16666666666666666,0.16666666666666666,33.0,27.0,5.0,65.0,0.5076923076923077,0.4153846153846154,0.07692307692307693
Almeria,2,La Liga,away,3,0.0,0.6666666666666666,0.3333333333333333,0.0,20.0,4.0,24.0,0.0,0.8333333333333334,0.16666666666666666
Almeria,2,La Liga,home,2,1.0,0.0,0.0,33.0,0.0,0.0,33.0,1.0,0.0,0.0
Almeria,all,La Liga,away,13,0.0,0.3076923076923077,0.6923076923076923,0.0,63.0,120.0,183.0,0.0,0.3442622950819672,0.6557377049180327
Almeria,all,La Liga,home,14,0.5,0.14285714285714285,0.35714285714285715,90.0,44.0,69.0,203.0,0.4433497536945813,0.21674876847290642,0.3399014778325123
Arsenal,0,Premier League,away,4,0.75,0.0,0.25,62.0,0.0,6.0,68.0,0.9117647058823529,0.0,0.08823529411764706
Arsenal,0,Premier League,home,5,0.6,0.2,0.2,35.0,19.0,12.0,66.0,0.5303030303030303,0.2878787878787879,0.18181818181818182
Arsenal,1,Premier League,away,5,1.0,0.0,0.0,67.0,0.0,0.0,67.0,1.0,0.0,0.0
Arsenal,1,Premier League,home,5,0.8,0.2,0.0,59.0,23.0,0.0,82.0,0.7195121951219512,0.2804878048780488,0.0
Arsenal,2,Premier League,away,5,0.6,0.2,0.2,39.0,13.0,22.0,74.0,0.527027027027027,0.17567567567567569,0.2972972972972973
Arsenal,2,Premier League,home,5,1.0,0.0,0.0,78.0,0.0,0.0,78.0,1.0,0.0,0.0
Arsenal,all,Premier League,away,14,0.7857142857142857,0.07142857142857142,0.14285714285714285,168.0,13.0,28.0,209.0,0.8038277511961722,0.06220095693779904,0.1339712918660287
Arsenal,all,Premier League,home,15,0.8,0.13333333333333333,0.06666666666666667,172.0,42.0,12.0,226.0,0.7610619469026548,0.18584070796460178,0.05309734513274336
Aston Villa,0,Premier League,away,5,0.4,0.0,0.6,34.0,0.0,42.0,76.0,0.4473684210526316,0.0,0.5526315789473685
