n_matches,main_team,team_group,competition,no_goal,no_goal_streak_weighted,goal_streak_weighted,tot_giornata,no_goal_streak_weighted_ratio,goal_streak_weighted_ratio,no_goal_ratio,goal_ratio,curr_giornata
1,Almeria,0,La Liga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Almeria,all,La Liga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Arsenal,1,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Arsenal,all,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Aston Villa,1,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Aston Villa,all,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Atalanta,2,Serie A,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Atalanta,all,Serie A,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Ath Bilbao,1,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Ath Bilbao,all,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Ath Madrid,2,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Ath Madrid,all,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Augsburg,0,Bundesliga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Augsburg,all,Bundesliga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Barcelona,1,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Barcelona,all,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Bayern Munich,0,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Bayern Munich,all,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Betis,2,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Betis,all,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Bochum,1,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Bochum,all,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Bologna,0,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Bologna,all,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Bournemouth,0,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Bournemouth,all,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Brentford,2,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Brentford,all,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Brighton,0,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Brighton,all,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Cadiz,0,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Cadiz,all,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Celta,2,La Liga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Celta,all,La Liga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Chelsea,2,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Chelsea,all,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Cremonese,1,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Cremonese,all,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Crystal Palace,0,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Crystal Palace,all,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Dortmund,0,Bundesliga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Dortmund,all,Bundesliga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Ein Frankfurt,0,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Ein Frankfurt,all,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Elche,0,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Elche,all,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Empoli,2,Serie A,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Empoli,all,Serie A,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Espanol,1,La Liga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Espanol,all,La Liga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Everton,1,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Everton,all,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,FC Koln,2,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,FC Koln,all,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Fiorentina,2,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Fiorentina,all,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Freiburg,1,Bundesliga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Freiburg,all,Bundesliga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Fulham,1,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Fulham,all,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Getafe,0,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Getafe,all,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Girona,2,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Girona,all,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Hertha,0,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Hertha,all,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Hoffenheim,1,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Hoffenheim,all,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Inter,2,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Inter,all,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Juventus,1,Serie A,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Juventus,all,Serie A,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Lazio,1,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Lazio,all,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Lecce,0,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Lecce,all,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Leeds,1,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Leeds,all,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Leicester,1,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Leicester,all,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Leverkusen,0,Bundesliga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Leverkusen,all,Bundesliga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Liverpool,1,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Liverpool,all,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,M'gladbach,1,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,M'gladbach,all,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Mainz,2,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Mainz,all,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Mallorca,0,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Mallorca,all,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Man City,2,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Man City,all,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Man United,0,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Man United,all,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Milan,1,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Milan,all,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
